id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13001,Appling,34695,8194.0,7561.0,633.0,7.7,403,5776,180560907,41055720,601,156334
13003,Atkinson,14932,3411.0,3211.0,200.0,5.9,118,1761,38952279,13216776,425,49038
13005,Bacon,19979,4185.0,3923.0,262.0,6.3,244,3135,73672494,21290912,452,92842
13007,Baker,7571,1688.0,1604.0,84.0,5.0,58,624,14680335,3426353,453,24569
13009,Baldwin,97490,19582.0,18624.0,958.0,4.9,881,19370,495540326,91339715,492,498944
13011,Banks,30318,8107.0,7764.0,343.0,4.2,201,3205,76362767,27614722,458,79664
13013,Barrow,96998,26798.0,25493.0,1305.0,4.9,902,11717,319860844,87019365,525,473601
13015,Bartow,160516,42311.0,39961.0,2350.0,5.6,1706,31087,919222231,258687440,569,1888098
13017,Ben Hill,33336,7890.0,7441.0,449.0,5.7,405,8020,201793712,60806623,484,264020
13019,Berrien,32159,8104.0,7768.0,336.0,4.1,293,4494,111893199,35430162,479,104389
13021,Bibb,300141,70455.0,66892.0,3563.0,5.1,4692,84836,2701456429,628988295,612,2624069
13023,Bleckley,22889,5154.0,4862.0,292.0,5.7,231,4002,102038596,24333092,490,86179
13025,Brantley,30150,7018.0,6636.0,382.0,5.4,219,2241,49340534,14175259,423,74056
13027,Brooks,31157,7843.0,7479.0,364.0,4.6,273,3056,67207640,20311330,423,129164
13029,Bryan,48411,12545.0,12088.0,457.0,3.6,432,4360,102880242,28832802,454,212748
13031,Bulloch,123976,28170.0,26946.0,1224.0,4.3,1358,21312,510790498,138108228,461,831076
13033,Burke,42877,9565.0,8912.0,653.0,6.8,352,6689,204781042,46499682,589,191158
13035,Butts,42520,9472.0,8946.0,526.0,5.6,359,5324,138141190,38055097,499,159482
13037,Calhoun,13121,2355.0,2190.0,165.0,7.0,131,1643,36105086,8464117,423,57602
13039,Camden,91040,18370.0,17546.0,824.0,4.5,815,13690,396153446,82439991,556,710462
13043,Candler,18071,4037.0,3850.0,187.0,4.6,226,2825,57923968,16417344,394,58428
13045,Carroll,186876,46735.0,44249.0,2486.0,5.3,1867,30930,901278825,227397976,560,942303
13047,Catoosa,108658,31507.0,30434.0,1073.0,3.4,859,14597,379848830,106911346,500,575411
13049,Charlton,21727,4092.0,3890.0,202.0,4.9,219,2401,55616401,15864972,446,151950
13051,Chatham,468540,114891.0,109941.0,4950.0,4.3,6792,122630,3811901823,903597762,598,4206278
13053,Chattahoochee,36729,2665.0,2433.0,232.0,8.7,82,1559,35401629,13029914,437,76917
13055,Chattooga,51230,11253.0,10780.0,473.0,4.2,345,7613,187935744,54737685,475,120894
13057,Cherokee,313335,88668.0,85028.0,3640.0,4.1,3766,36941,1058855265,295751109,551,2293598
13059,Clarke,239732,55634.0,53411.0,2223.0,4.0,2953,61477,1894307075,341960364,593,1327649
13061,Clay,5974,1458.0,1389.0,69.0,4.7,80,834,19331302,5516853,446,41016
