id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13001,Appling,11744,8678.0,7747.0,931.0,10.7,439,6468,254734225,53491662,757,996424
13003,Atkinson,5357,3488.0,3161.0,327.0,9.4,130,1636,50231762,14087073,590,411878
13005,Bacon,7254,4629.0,4240.0,389.0,8.4,267,3678,103824933,29598354,543,539074
13007,Baker,2154,1130.0,1011.0,119.0,10.5,57,464,14310411,3312448,593,41514
13009,Baldwin,32259,18542.0,16660.0,1882.0,10.1,885,14910,480470652,109752111,620,2635589
13011,Banks,11989,7994.0,7370.0,624.0,7.8,278,3501,100102861,32214289,550,514954
13013,Barrow,47145,34704.0,32139.0,2565.0,7.4,1149,16787,562530833,150834686,644,3309932
13015,Bartow,67411,47081.0,43005.0,4076.0,8.7,2089,31393,1230236928,280572995,754,8362497
13017,Ben Hill,10987,5781.0,5059.0,722.0,12.5,371,5422,157599365,44114425,559,1069777
13019,Berrien,12178,7416.0,6707.0,709.0,9.6,302,3645,108511312,31960397,573,1159946
13021,Bibb,100919,69947.0,63451.0,6496.0,9.3,4527,80158,3106340294,637044612,745,13536101
13023,Bleckley,8405,4790.0,4121.0,669.0,14.0,199,2549,69857089,15205783,527,405536
13025,Brantley,11976,7041.0,6291.0,750.0,10.7,225,2097,56303420,13600418,516,351411
13027,Brooks,9911,6683.0,6129.0,554.0,8.3,275,2832,86783130,23112393,589,336332
13029,Bryan,21947,15430.0,14280.0,1150.0,7.5,662,6498,203946341,50672115,604,1157726
13031,Bulloch,51863,34197.0,31230.0,2967.0,8.7,1507,23011,729942807,168935761,610,3864730
13033,Burke,14667,9495.0,8354.0,1141.0,12.0,370,6619,332959583,52488711,967,833981
13035,Butts,15806,10204.0,9256.0,948.0,9.3,406,5699,185067245,43420366,625,957440
13037,Calhoun,4675,2109.0,1935.0,174.0,8.3,118,1086,29652150,6202885,525,104544
13039,Camden,34871,21594.0,19918.0,1676.0,7.8,942,14439,574203655,103767668,765,2505507
13043,Candler,6793,5106.0,4689.0,417.0,8.2,241,2857,79656198,21037183,536,350726
